x,y,z,u,v,w
26.518,-225.1225,-182.3299,0.14603503333333334,0.3347386666666667,0.27547146666666666
24.20073,-224.0942,-182.3508,0.002322251,0.00532302,0.00438055
24.71451,-223.3206,-183.5631,0.044713866666666664,0.10249230000000001,0.0843455
25.01436,-223.946,-182.9622,0.23909916666666667,0.5480586666666667,0.45102200000000003
27.12754,-224.732,-183.1276,0.09943443333333334,0.2279217666666667,0.187567
24.21297,-224.0958,-182.3554,0.008664443333333334,0.019860473333333333,0.016344070000000002
24.7068,-224.187,-182.5064,0.16981796666666668,0.38925366666666666,0.3203342
26.91296,-224.5189,-183.2728,0.16598933333333335,0.3804776666666667,0.3131120666666667
26.20745,-223.8123,-183.7573,0.20731663333333333,0.47520733333333337,0.3910693333333334
26.03034,-223.9893,-183.4482,0.27666056666666666,0.6341563333333333,0.5218753333333334
26.91438,-224.3397,-183.4912,0.1542238,0.353509,0.2909183
25.3278,-223.4394,-183.744,0.13957883333333335,0.31994,0.2632929333333333
24.35938,-223.7319,-182.8751,0.06057133333333334,0.13884043333333335,0.114258
25.58873,-223.5052,-183.8024,0.1609719666666667,0.368977,0.30364763333333333
24.42509,-223.3589,-183.3633,0.0023148563333333333,0.00530607,0.004366603333333333
27.08574,-224.3808,-183.5321,0.10339206666666667,0.23699330000000002,0.19503240000000002
25.67881,-224.5384,-182.5947,0.2979923666666667,0.6830523333333334,0.5621143333333333
27.0701,-224.8743,-182.9242,0.1006597,0.2307302333333333,0.18987823333333334
25.63473,-224.1539,-183.0385,0.3130521,0.7175720000000001,0.5905223333333334
24.77842,-223.2524,-183.68,0.02578275,0.05909873333333334,0.048635
27.03647,-225.3262,-182.3572,0.0,0.0,0.0
26.55947,-225.1314,-182.341,0.13951253333333333,0.319788,0.2631678666666667
24.24483,-224.2467,-182.1889,0.0,0.0,0.0
25.23845,-224.2385,-182.7256,0.2802100666666667,0.6422923333333334,0.528571
25.75196,-224.9197,-182.1702,0.21096303333333336,0.48356566666666667,0.3979476666666667
26.59343,-224.1234,-183.5839,0.20786526666666666,0.47646466666666665,0.39210433333333333
25.00065,-224.4818,-182.304,0.20564453333333335,0.47137433333333334,0.38791533333333333
24.57368,-223.8364,-182.8618,0.1352516666666667,0.3100213,0.25513040000000003
26.28116,-224.9668,-182.3935,0.21105320000000002,0.48377200000000004,0.39811766666666665
24.67195,-223.4104,-183.4315,0.0711997,0.1632026,0.13430670000000003
24.27439,-223.8503,-182.6862,0.0424414,0.09728336666666668,0.08005883333333334
26.20896,-224.1864,-183.3034,0.28681966666666664,0.6574426666666667,0.541039
27.36508,-224.4285,-183.6222,0.0023274646666666668,0.00533497,0.004390386666666667
24.99978,-223.8239,-183.1029,0.22434306666666667,0.514235,0.423187
