Points:0,Points:1,Points:2,U:0,U:1,U:2,wss,p
26.29012,-224.43,-183.0504,0.08682575999999999,0.1985828,0.16358820000000002,0.0,392.63569814864996
26.22816,-224.5983,-182.8131,0.08609947,0.1969217,0.1622198,0.0,392.9974017248949
26.24931,-224.5408,-182.8941,0.08698763,0.198953,0.16389320000000002,0.0,392.77035373729996
26.19289,-224.6941,-182.6501,0.08261078,0.18942979999999998,0.1559674,0.0,393.04433119737496
26.201,-224.6721,-182.6591,0.08303886,0.19075679999999998,0.1569764,0.0,393.145122905315
26.27817,-224.4624,-183.0046,0.08710245,0.1992157,0.1641095,0.0,392.77701985555
26.25972,-224.5126,-182.9339,0.08717255,0.199376,0.16424160000000002,0.0,392.759554625735
26.28758,-224.4368,-182.9471,0.08664334,0.1999214,0.16435300000000003,0.0,392.96607096912
26.345,-224.2809,-183.0833,0.08471764,0.19703779999999999,0.1614787,0.0,392.5013092047299
26.32055,-224.3473,-183.0897,0.08558689,0.1972586,0.1620802,0.0,392.624099102895
26.30349,-224.3936,-182.9831,0.08649021,0.19983,0.16408650000000002,0.0,392.78235275015
26.30374,-224.393,-183.0317,0.08631027,0.19878769999999998,0.1633745,0.0,392.68609400261994
26.24984,-224.5394,-182.7703,0.08548724999999999,0.19788630000000001,0.16253689999999998,0.0,393.099793301215
26.253,-224.5308,-182.6711,0.0840494,0.1963869,0.160774,0.0,392.75515498768993
26.22152,-224.6163,-182.7008,0.08419513,0.19402049999999998,0.1595428,0.0,393.19031918704997
26.25879,-224.5151,-182.8128,0.08596284000000001,0.1988188,0.1633364,0.0,392.98166968582495
26.28164,-224.453,-182.8577,0.08624836999999999,0.2003338,0.1643794,0.0,392.77968630284994
32.4615,-207.663,-178.1044,0.1415244,0.49516899999999997,0.2654705,0.0,1.3705165819377999e-05
32.43745,-207.7283,-178.1488,0.1362689,0.47977159999999996,0.257382,0.0,10.311285031464998
32.48389,-207.6022,-178.2248,0.08070714000000001,0.24963909999999997,0.1522973,0.0,1.4858204293080498e-05
32.45649,-207.6766,-178.1918,0.1094878,0.3742773,0.21157430000000002,0.0,6.938806482805449
32.46782,-207.6458,-178.1386,0.1231538,0.42801859999999997,0.2328059,0.0,1.3549258645747e-05
32.27649,-208.1657,-177.1058,0.06209928,0.269546,0.1236251,0.0,4.728489657285349e-06
32.29147,-208.125,-177.1866,0.08752269,0.3680875,0.16295559999999998,0.0,6.45842467013205e-06
32.27279,-208.1757,-177.2211,0.091333,0.3780959,0.16624,0.0,2.9924711449237
32.48527,-207.5984,-178.2321,0.07688573,0.2339265,0.14532730000000002,0.0,1.5057067932714499e-05
32.44866,-207.6979,-178.0351,0.15565009999999999,0.5790164999999999,0.2855238,0.0,1.80095183701125e-05
32.42553,-207.7607,-178.0776,0.1520447,0.5690951,0.2786516,0.0,10.283785960460099
32.26647,-208.1929,-177.1189,0.062032449999999996,0.2696753,0.1230869,0.0,1.235943519831735
32.26726,-208.1908,-177.0958,0.05633277,0.2445063,0.11205470000000001,0.0,0.76899566862283
32.27526,-208.169,-177.099,0.06018752,0.25996559999999996,0.1191648,0.0,4.536596110893549e-06
32.43858,-207.7253,-177.9805,0.17024319999999998,0.6421763,0.2995389,0.0,2.0073335248075996e-05
32.42878,-207.7519,-178.0288,0.1639978,0.6156477,0.2953188,0.0,4.766246551053349
32.32606,-208.031,-177.3734,0.156104,0.5756118,0.24346959999999998,0.0,2.3899660459102995e-06
32.29272,-208.1216,-177.3449,0.1319612,0.5148822,0.2194903,0.0,2.15387746874465
32.30125,-208.0984,-177.2395,0.1047921,0.4288681,0.1874237,0.0,5.4578043237685e-06
32.25562,-208.2224,-177.1675,0.07061792,0.3035717,0.1356757,0.0,3.2057642641216497
32.39247,-207.8506,-177.9017,0.18765540000000003,0.7083233,0.2981865,0.0,7.7921616112373
32.42704,-207.7566,-177.9185,0.1812857,0.6810182,0.2992834,0.0,1.4527391508806e-05
32.41502,-207.7893,-178.0256,0.1661617,0.6303641,0.2921078,0.0,10.5906647137698
32.40009,-207.8299,-177.9184,0.1856449,0.6988641,0.2972763,0.0,6.67901185591915
32.32334,-208.0384,-177.3587,0.1506743,0.5603535000000001,0.23745470000000002,0.0,2.5247869542929e-06
32.30858,-208.0785,-177.279,0.11853059999999999,0.47382710000000006,0.2055285,0.0,4.20972433572845e-06
32.29599,-208.1127,-177.3057,0.1225626,0.4858001,0.2080408,0.0,1.34566395987815
32.28934,-208.1308,-177.2651,0.10822129999999999,0.43867449999999997,0.190876,0.0,1.9905109087919
32.32736,-208.0275,-177.3804,0.15867430000000002,0.5821931,0.24604520000000002,0.0,2.30784080229395e-06
32.34369,-207.9831,-177.4691,0.1847373,0.6497599,0.2706005,0.0,3.7894309129605498e-06
32.41232,-207.7966,-177.8391,0.19589759999999998,0.7198666,0.3004697,0.0,1.7537330549992e-05
32.34869,-207.9695,-177.7784,0.2098903,0.7268586,0.2923911,0.0,9.5301172975624
32.3115,-208.0706,-177.424,0.1661824,0.6026804,0.2520114,0.0,1.313884307700195
32.40765,-207.8093,-177.8137,0.20079149999999998,0.7216457,0.3010011,0.0,1.9359580634812e-05
32.39865,-207.8338,-177.8306,0.19962219999999997,0.7217238,0.29937210000000003,0.0,2.4713513504008997
32.39989,-207.8304,-177.8582,0.19495,0.7210565,0.298993,0.0,3.9599502177955497
32.37611,-207.895,-177.8015,0.2058569,0.7268212,0.2961394,0.0,5.32256878283075
32.38631,-207.8673,-177.6981,0.2148689,0.7316083999999999,0.2972645,0.0,1.2136326886608099e-05
32.38007,-207.8842,-177.6644,0.2172308,0.730278,0.2961263,0.0,1.10662175903829e-05
32.37687,-207.8929,-177.7318,0.21191500000000002,0.7306892,0.2955404,0.0,3.1962277153531997
32.3708,-207.9094,-177.681,0.2174847,0.7299901,0.2952617,0.0,2.1463914179499
32.35884,-207.9419,-177.7362,0.2144452,0.7331831,0.2932324,0.0,6.272044003533
32.37914,-207.8868,-177.6944,0.21543900000000002,0.7291772000000001,0.29662659999999996,0.0,0.94371409466587
32.36343,-207.9295,-177.644,0.21394739999999998,0.7223959000000001,0.2923114,0.0,0.8246653553851349
32.35141,-207.9621,-177.5107,0.19654800000000003,0.6789778,0.27869689999999997,0.0,2.1495044951726497e-06
32.36143,-207.9349,-177.5642,0.205239,0.6990747,0.2877423,0.0,3.31980021580075e-06
32.34456,-207.9807,-177.5661,0.204333,0.6976036000000001,0.2850723,0.0,1.1053450640710498
32.32596,-208.0313,-177.5185,0.1934565,0.6699701,0.27461939999999996,0.0,3.9437595497899496
32.307,-208.0828,-177.4578,0.1737492,0.6227563,0.2586432,0.0,1.9038820356858497
27.16061,-222.0649,-180.5581,0.07140049,0.2093559,0.1437127,0.0,383.517114994475
29.94373,-214.5035,-178.3498,0.1199027,0.2572309,-0.0230009,0.0,340.83022681350496
29.91867,-214.5716,-178.3248,0.1190455,0.2554202,-0.02108598,0.0,342.44836035750996
29.90358,-214.6126,-178.3786,0.1154694,0.24525,-0.01674202,0.0,342.57421667007
29.89618,-214.6327,-178.2871,0.1185045,0.2553484,-0.01783377,0.0,344.22034791072497
27.43377,-221.3228,-180.5898,0.08573387,0.2287902,0.1551902,0.0,380.90306338391997
27.42924,-221.3351,-180.4872,0.08591844,0.22761099999999998,0.1543223,0.0,380.839735260545
26.24791,-224.5446,-181.984,0.061024089999999996,0.1560603,0.1259202,0.0,392.220398981675
29.85113,-214.7551,-178.9174,0.054906790000000004,0.1878161,-0.01950935,0.0,343.250561027715
29.84519,-214.7712,-178.9057,0.05561665,0.1867567,-0.01891751,0.0,343.45027793048496
29.85016,-214.7577,-178.8811,0.060014979999999996,0.1886551,-0.018118719999999998,0.0,343.26402658658003
29.85728,-214.7384,-178.9031,0.05804487,0.18935449999999998,-0.01897218,0.0,342.98791596866494
27.60377,-220.8609,-181.0202,0.07253413,0.1988841,0.1314794,0.0,380.31644497791996
27.5994,-220.8728,-181.1315,0.06738431,0.1888566,0.1241225,0.0,380.27778149206995
27.56901,-220.9554,-181.0873,0.0708734,0.19905080000000003,0.1312866,0.0,380.30337938614997
27.57785,-220.9313,-181.1449,0.06784785,0.1922472,0.1262025,0.0,380.61708691099494
